n_fft,hop_length,n_mel,test_loss,test_acc
128, 128, 40, 2.484931230545044, 0.08343558013439178
128, 128, 64, 0.4443550109863281, 0.8635991811752319
128, 128, 128, 0.614213764667511, 0.8018404841423035
128, 256, 40, 2.484931230545044, 0.08343558013439178
128, 256, 64, 0.631207287311554, 0.8014314770698547
128, 256, 128, 0.6582856178283691, 0.7867075800895691
128, 396, 40, 0.6485859155654907, 0.7916155457496643
128, 396, 64, 1.2469650506973267, 0.5773006081581116
128, 396, 128, 0.9463679194450378, 0.6912065148353577
256, 128, 40, 2.484931230545044, 0.08343558013439178
256, 128, 64, 0.7327513694763184, 0.8462167978286743
256, 128, 128, 0.5591115355491638, 0.8194274306297302
256, 256, 40, 0.5787172913551331, 0.8188139200210571
256, 256, 64, 2.4849321842193604, 0.08343558013439178
256, 256, 128, 2.484931230545044, 0.08343558013439178
256, 396, 40, 1.4026228189468384, 0.5028629899024963
256, 396, 64, 1.4004241228103638, 0.4893660545349121
256, 396, 128, 0.6917039155960083, 0.7850715517997742
512, 128, 40, 0.4697287082672119, 0.8537832498550415
512, 128, 64, 0.42439958453178406, 0.8683026432991028
512, 128, 128, 0.3881153464317322, 0.8813905715942383
512, 256, 40, 0.5731236934661865, 0.8233128786087036
512, 256, 64, 0.4467732012271881, 0.8656441569328308
512, 256, 128, 0.4621625542640686, 0.8490797281265259
512, 396, 40, 0.7566146850585938, 0.7627812027931213
512, 396, 64, 1.6877691745758057, 0.3879345655441284
512, 396, 128, 0.6839397549629211, 0.7867075800895691
1024, 128, 40, 2.484931468963623, 0.08343558013439178
1024, 128, 64, 0.5091720819473267, 0.8503067493438721
1024, 128, 128, 0.41325071454048157, 0.8799591064453125
1024, 256, 40, 2.484931230545044, 0.08343558013439178
1024, 256, 64, 2.484931468963623, 0.08343558013439178
1024, 256, 128, 1.6185698509216309, 0.4177913963794708
1024, 396, 40, 0.6812447309494019, 0.7830265760421753
1024, 396, 64, 0.5502068996429443, 0.8359917998313904
1024, 396, 128, 0.9491563439369202, 0.6783230900764465
2048, 128, 40, 2.484931230545044, 0.08343558013439178
2048, 128, 64, 2.484931468963623, 0.08343558013439178
2048, 128, 128, 0.5140741467475891, 0.8437627553939819
2048, 256, 40, 2.484931468963623, 0.08343558013439178
2048, 256, 64, 2.484931230545044, 0.08343558013439178
2048, 256, 128, 2.484931707382202, 0.08343558013439178
2048, 396, 40, 2.4849295616149902, 0.08343558013439178
2048, 396, 64, 0.8715910315513611, 0.7006134986877441
2048, 396, 128, 0.5519285202026367, 0.8157464265823364
